TEAM_ID,PLAYER_ID,GP,GS,MIN,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1610612737,1631100,20.0,0.0,171.0,0.29,0.256,1.0,2.0,16.0,18.0,5.0,1.0,2.0,8.0,6.0,48.0
1610612737,203992,79.0,33.0,2401.0,0.428,0.374,0.921,53.0,219.0,272.0,247.0,96.0,26.0,112.0,179.0,1333.0
1610612737,1628981,45.0,2.0,682.0,0.583,0.0,0.667,59.0,134.0,193.0,46.0,25.0,28.0,44.0,107.0,282.0
1610612737,203991,73.0,73.0,1883.0,0.571,0.0,0.631,335.0,441.0,776.0,91.0,43.0,106.0,74.0,164.0,836.0
1610612737,1629631,57.0,37.0,1681.0,0.459,0.385,0.847,31.0,191.0,222.0,87.0,40.0,16.0,83.0,146.0,891.0
1610612737,1627749,78.0,78.0,2783.0,0.459,0.363,0.794,62.0,354.0,416.0,502.0,111.0,24.0,201.0,138.0,1753.0
1610612737,1629685,17.0,0.0,108.0,0.5,0.481,0.0,3.0,13.0,16.0,10.0,2.0,0.0,2.0,6.0,43.0
1610612737,1629726,66.0,5.0,992.0,0.456,0.44,0.81,17.0,75.0,92.0,37.0,20.0,8.0,19.0,115.0,325.0
1610612737,1630552,56.0,52.0,1889.0,0.511,0.355,0.728,74.0,414.0,488.0,203.0,67.0,47.0,101.0,133.0,896.0
1610612737,1641723,17.0,0.0,196.0,0.37,0.225,0.5,6.0,27.0,33.0,27.0,7.0,5.0,10.0,20.0,81.0
1610612737,1631243,6.0,0.0,73.0,0.348,0.333,0.833,10.0,12.0,22.0,4.0,5.0,4.0,1.0,13.0,24.0
1610612737,1630168,55.0,8.0,1405.0,0.611,0.333,0.793,145.0,231.0,376.0,74.0,26.0,60.0,45.0,162.0,561.0
1610612737,201988,32.0,5.0,415.0,0.351,0.276,1.0,9.0,26.0,35.0,34.0,20.0,1.0,16.0,32.0,127.0
1610612737,1630180,63.0,51.0,2062.0,0.416,0.316,0.837,167.0,244.0,411.0,92.0,51.0,11.0,54.0,88.0,863.0
1610612737,1641754,9.0,0.0,52.0,0.235,0.231,0.75,1.0,6.0,7.0,0.0,0.0,0.0,1.0,6.0,14.0
1610612737,1629027,54.0,54.0,1942.0,0.43,0.373,0.855,23.0,126.0,149.0,583.0,72.0,11.0,235.0,109.0,1389.0
1610612737,1630235,38.0,0.0,414.0,0.378,0.2,0.765,11.0,40.0,51.0,92.0,11.0,3.0,20.0,25.0,83.0
1610612737,1630249,22.0,14.0,541.0,0.49,0.412,0.833,11.0,41.0,52.0,50.0,13.0,6.0,20.0,48.0,135.0
1610612737,202083,36.0,3.0,413.0,0.351,0.348,0.75,9.0,44.0,53.0,23.0,16.0,11.0,8.0,43.0,110.0
1610612738,201143,65.0,33.0,1740.0,0.511,0.419,0.867,82.0,331.0,413.0,168.0,38.0,62.0,48.0,93.0,562.0
1610612738,1630625,54.0,9.0,1047.0,0.404,0.296,0.783,41.0,137.0,178.0,127.0,33.0,20.0,77.0,64.0,557.0
1610612738,1628401,73.0,73.0,2381.0,0.461,0.396,0.901,51.0,259.0,310.0,377.0,74.0,87.0,112.0,152.0,1107.0
1610612738,1641809,3.0,0.0,23.0,0.667,0.6,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,11.0
1610612738,1631120,8.0,0.0,39.0,0.417,0.429,0.75,2.0,8.0,10.0,10.0,1.0,1.0,2.0,4.0,16.0
1610612738,1630531,49.0,2.0,507.0,0.399,0.208,0.833,33.0,45.0,78.0,44.0,36.0,15.0,34.0,66.0,163.0
1610612738,1627759,70.0,70.0,2343.0,0.499,0.354,0.703,84.0,303.0,387.0,249.0,83.0,37.0,166.0,185.0,1610.0
1610612738,1628369,74.0,74.0,2645.0,0.471,0.376,0.833,67.0,534.0,601.0,364.0,75.0,43.0,188.0,145.0,1987.0
1610612738,1641775,9.0,1.0,83.0,0.4,0.222,0.5,5.0,15.0,20.0,5.0,5.0,1.0,3.0,11.0,15.0
1610612738,201950,69.0,69.0,2263.0,0.48,0.429,0.833,84.0,289.0,373.0,333.0,61.0,53.0,124.0,108.0,860.0
1610612738,204001,57.0,57.0,1690.0,0.516,0.375,0.858,97.0,312.0,409.0,115.0,42.0,111.0,89.0,156.0,1145.0
1610612738,1630205,38.0,3.0,559.0,0.45,0.304,0.778,36.0,91.0,127.0,28.0,23.0,22.0,24.0,45.0,272.0
1610612738,1628436,63.0,7.0,983.0,0.7,1.0,0.907,118.0,143.0,261.0,67.0,23.0,61.0,21.0,77.0,334.0
1610612738,1629674,28.0,0.0,333.0,0.644,0.0,0.714,53.0,69.0,122.0,20.0,13.0,21.0,13.0,50.0,154.0
1610612738,1629052,55.0,1.0,630.0,0.444,0.273,0.602,61.0,99.0,160.0,44.0,19.0,8.0,20.0,54.0,201.0
1610612738,1630202,82.0,5.0,1826.0,0.468,0.385,0.821,70.0,195.0,265.0,281.0,39.0,6.0,61.0,106.0,787.0
1610612738,1630573,79.0,13.0,1741.0,0.446,0.424,0.895,45.0,231.0,276.0,82.0,40.0,25.0,32.0,99.0,712.0
1610612738,1629004,41.0,2.0,413.0,0.416,0.389,0.667,11.0,40.0,51.0,35.0,11.0,1.0,12.0,19.0,162.0
1610612738,1630214,54.0,15.0,975.0,0.434,0.247,0.44,70.0,141.0,211.0,77.0,51.0,44.0,34.0,75.0,284.0
1610612751,1629717,10.0,0.0,104.0,0.326,0.344,0.5,7.0,11.0,18.0,5.0,1.0,1.0,3.0,3.0,42.0
1610612751,1627732,15.0,12.0,359.0,0.581,0.0,0.4,31.0,88.0,119.0,86.0,12.0,9.0,27.0,36.0,92.0
1610612751,1630560,66.0,51.0,2075.0,0.442,0.364,0.856,28.0,186.0,214.0,192.0,45.0,16.0,124.0,138.0,1482.0
1610612751,1629661,58.0,47.0,1599.0,0.446,0.391,0.789,55.0,196.0,251.0,138.0,49.0,15.0,57.0,105.0,776.0
1610612751,1641727,2.0,0.0,24.0,0.2,0.0,0.5,0.0,4.0,4.0,3.0,0.0,1.0,0.0,0.0,3.0
1610612751,1630549,61.0,1.0,921.0,0.571,0.267,0.61,161.0,228.0,389.0,85.0,24.0,44.0,70.0,131.0,415.0
1610612751,203471,80.0,58.0,2486.0,0.435,0.375,0.836,39.0,203.0,242.0,488.0,63.0,17.0,153.0,164.0,1122.0
1610612751,1628372,56.0,2.0,1059.0,0.435,0.294,0.741,50.0,114.0,164.0,203.0,68.0,12.0,68.0,121.0,369.0
1610612751,1627827,68.0,56.0,1935.0,0.421,0.348,0.717,109.0,208.0,317.0,107.0,56.0,38.0,59.0,150.0,580.0
1610612751,1628385,23.0,0.0,100.0,0.46,0.214,0.538,12.0,18.0,30.0,6.0,2.0,3.0,6.0,15.0,56.0
1610612751,1631367,41.0,14.0,698.0,0.4,0.405,1.0,9.0,37.0,46.0,137.0,33.0,5.0,30.0,39.0,173.0
1610612751,1630592,43.0,3.0,665.0,0.425,0.324,0.826,47.0,84.0,131.0,45.0,11.0,4.0,19.0,48.0,214.0
1610612751,1628966,53.0,8.0,665.0,0.434,0.304,0.762,31.0,79.0,110.0,38.0,25.0,22.0,15.0,35.0,197.0
1610612751,1630553,5.0,0.0,61.0,0.381,0.4,0.917,3.0,4.0,7.0,3.0,3.0,1.0,5.0,5.0,31.0
1610612751,1629022,58.0,0.0,1011.0,0.423,0.384,0.763,13.0,114.0,127.0,74.0,32.0,20.0,51.0,71.0,565.0
1610612751,1628969,82.0,82.0,2854.0,0.436,0.372,0.814,68.0,304.0,372.0,299.0,81.0,30.0,164.0,116.0,1606.0
1610612751,1629651,71.0,71.0,2116.0,0.629,0.2,0.551,193.0,513.0,706.0,147.0,46.0,146.0,93.0,175.0,841.0
1610612751,1641730,23.0,4.0,370.0,0.538,0.364,0.7,26.0,55.0,81.0,18.0,8.0,16.0,15.0,25.0,133.0
1610612751,1626220,79.0,14.0,1954.0,0.397,0.37,0.686,60.0,317.0,377.0,219.0,59.0,44.0,73.0,174.0,608.0
1610612751,203915,76.0,52.0,2152.0,0.392,0.337,0.805,30.0,175.0,205.0,356.0,51.0,22.0,91.0,138.0,795.0
1610612751,1630570,63.0,2.0,857.0,0.527,0.397,0.794,52.0,142.0,194.0,81.0,23.0,19.0,63.0,106.0,432.0
1610612766,1630197,28.0,0.0,405.0,0.405,0.327,0.732,17.0,72.0,89.0,35.0,15.0,13.0,19.0,22.0,146.0
1610612766,1641735,10.0,0.0,65.0,0.333,0.125,0.857,6.0,3.0,9.0,7.0,3.0,0.0,4.0,2.0,23.0
1610612766,1641706,74.0,68.0,2383.0,0.44,0.373,0.827,60.0,255.0,315.0,175.0,66.0,42.0,132.0,184.0,1279.0
1610612766,1631121,59.0,14.0,882.0,0.439,0.333,0.776,17.0,85.0,102.0,51.0,21.0,10.0,30.0,74.0,302.0
1610612766,1628998,28.0,22.0,753.0,0.381,0.314,0.606,19.0,90.0,109.0,104.0,32.0,18.0,44.0,48.0,211.0
1610612766,202722,43.0,1.0,674.0,0.393,0.38,0.909,9.0,52.0,61.0,35.0,26.0,12.0,18.0,56.0,290.0
1610612766,1628373,5.0,0.0,43.0,0.111,0.125,1.0,1.0,5.0,6.0,4.0,0.0,0.0,1.0,4.0,5.0
1610612766,202330,51.0,28.0,1245.0,0.464,0.411,0.742,38.0,143.0,181.0,158.0,40.0,13.0,66.0,67.0,500.0
1610612766,1629684,76.0,43.0,2130.0,0.456,0.375,0.757,86.0,232.0,318.0,174.0,44.0,39.0,109.0,226.0,784.0
1610612766,202397,43.0,5.0,741.0,0.418,0.5,0.75,11.0,65.0,76.0,145.0,17.0,4.0,47.0,49.0,139.0
1610612766,1630550,63.0,3.0,781.0,0.437,0.346,0.55,43.0,103.0,146.0,29.0,11.0,27.0,15.0,60.0,199.0
1610612766,1630547,14.0,0.0,81.0,0.439,0.433,0.5,1.0,8.0,9.0,6.0,1.0,1.0,2.0,3.0,50.0
1610612766,1630163,22.0,22.0,711.0,0.433,0.355,0.865,29.0,84.0,113.0,176.0,40.0,4.0,83.0,79.0,526.0
1610612766,1641778,26.0,3.0,284.0,0.481,0.45,0.667,9.0,39.0,48.0,24.0,8.0,11.0,6.0,19.0,69.0
1610612766,1631109,19.0,19.0,508.0,0.649,0.0,0.719,76.0,108.0,184.0,22.0,16.0,20.0,17.0,50.0,242.0
1610612766,1629716,11.0,2.0,121.0,0.68,0.0,0.75,10.0,24.0,34.0,4.0,3.0,7.0,3.0,10.0,37.0
1610612766,1628970,69.0,67.0,2581.0,0.462,0.349,0.825,71.0,434.0,505.0,231.0,65.0,33.0,138.0,118.0,1449.0
1610612766,1641877,25.0,0.0,307.0,0.429,0.0,0.75,29.0,36.0,65.0,9.0,6.0,14.0,14.0,64.0,33.0
1610612766,1630208,67.0,51.0,1759.0,0.691,0.0,0.737,172.0,367.0,539.0,54.0,26.0,74.0,73.0,176.0,652.0
1610612766,1641733,51.0,0.0,729.0,0.391,0.432,0.867,18.0,54.0,72.0,59.0,10.0,7.0,39.0,55.0,302.0
1610612766,1629023,73.0,45.0,2221.0,0.436,0.32,0.683,85.0,326.0,411.0,141.0,72.0,59.0,96.0,169.0,939.0
1610612766,203552,44.0,4.0,615.0,0.392,0.352,0.903,18.0,50.0,68.0,44.0,22.0,6.0,21.0,39.0,226.0
1610612766,1626179,61.0,60.0,2040.0,0.443,0.363,0.869,35.0,212.0,247.0,342.0,63.0,21.0,106.0,101.0,1205.0
1610612766,1630177,17.0,1.0,213.0,0.286,0.167,0.933,4.0,20.0,24.0,28.0,7.0,0.0,18.0,21.0,59.0
1610612766,1630544,41.0,28.0,987.0,0.459,0.373,0.763,20.0,129.0,149.0,165.0,51.0,3.0,65.0,48.0,382.0
1610612766,203995,60.0,21.0,1176.0,0.43,0.279,0.813,14.0,74.0,88.0,262.0,31.0,7.0,99.0,68.0,422.0
1610612741,1641766,9.0,0.0,66.0,0.519,0.0,0.667,19.0,17.0,36.0,0.0,1.0,0.0,5.0,5.0,36.0
1610612741,1627936,71.0,57.0,2040.0,0.468,0.408,0.76,62.0,211.0,273.0,247.0,120.0,70.0,102.0,181.0,715.0
1610612741,203083,79.0,10.0,1351.0,0.556,0.0,0.592,265.0,443.0,708.0,37.0,73.0,48.0,81.0,140.0,663.0
1610612741,1641847,5.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1610612741,1630245,76.0,37.0,2212.0,0.501,0.403,0.81,54.0,162.0,216.0,242.0,68.0,36.0,103.0,166.0,924.0
1610612741,1629632,79.0,78.0,2881.0,0.447,0.376,0.838,44.0,314.0,358.0,405.0,53.0,18.0,166.0,186.0,1509.0
1610612741,1631207,59.0,2.0,681.0,0.439,0.23,0.581,29.0,84.0,113.0,81.0,27.0,18.0,32.0,81.0,180.0
1610612741,201942,79.0,79.0,2989.0,0.48,0.333,0.853,43.0,297.0,340.0,421.0,90.0,45.0,135.0,161.0,1897.0
1610612741,1630929,4.0,0.0,30.0,0.4,0.333,0.5,1.0,3.0,4.0,4.0,2.0,1.0,2.0,6.0,11.0
1610612741,1629750,9.0,5.0,230.0,0.6,0.37,0.769,20.0,47.0,67.0,5.0,10.0,8.0,7.0,19.0,110.0
1610612741,1628975,72.0,0.0,1004.0,0.378,0.329,0.571,11.0,49.0,60.0,94.0,37.0,16.0,36.0,71.0,357.0
1610612741,1641763,40.0,0.0,323.0,0.416,0.316,0.684,12.0,24.0,36.0,13.0,7.0,7.0,10.0,40.0,89.0
1610612741,202696,76.0,74.0,2610.0,0.484,0.294,0.822,210.0,591.0,801.0,254.0,50.0,60.0,120.0,190.0,1370.0
1610612741,1641931,23.0,1.0,268.0,0.381,0.273,0.8,6.0,26.0,32.0,13.0,3.0,2.0,10.0,24.0,80.0
1610612741,1630172,43.0,30.0,1174.0,0.443,0.399,0.788,46.0,120.0,166.0,66.0,40.0,33.0,57.0,87.0,429.0
1610612741,1630678,31.0,0.0,188.0,0.513,0.222,0.8,17.0,20.0,37.0,10.0,5.0,2.0,7.0,17.0,46.0
1610612741,1628470,53.0,14.0,1049.0,0.43,0.392,0.75,69.0,148.0,217.0,58.0,30.0,21.0,32.0,110.0,303.0
1610612741,203897,25.0,23.0,872.0,0.452,0.349,0.854,8.0,121.0,129.0,98.0,21.0,8.0,52.0,57.0,487.0
1610612739,1627747,68.0,10.0,1958.0,0.421,0.325,0.766,39.0,241.0,280.0,346.0,76.0,34.0,117.0,121.0,952.0
1610612739,1641854,51.0,6.0,649.0,0.509,0.353,0.732,21.0,88.0,109.0,118.0,21.0,15.0,45.0,40.0,285.0
1610612739,1627745,39.0,0.0,270.0,0.597,0.214,0.857,20.0,42.0,62.0,15.0,7.0,13.0,13.0,27.0,107.0
1610612739,1629636,57.0,57.0,1900.0,0.446,0.371,0.834,30.0,122.0,152.0,373.0,74.0,7.0,176.0,95.0,1028.0
1610612739,1629731,54.0,32.0,1108.0,0.414,0.391,0.769,37.0,181.0,218.0,43.0,40.0,25.0,20.0,93.0,291.0
1610612739,1628378,55.0,55.0,1943.0,0.462,0.368,0.865,46.0,234.0,280.0,333.0,101.0,30.0,154.0,118.0,1463.0
1610612739,1641734,15.0,0.0,133.0,0.306,0.303,0.25,1.0,13.0,14.0,10.0,1.0,2.0,8.0,5.0,41.0
1610612739,1630596,50.0,50.0,1532.0,0.58,0.373,0.719,111.0,357.0,468.0,160.0,45.0,72.0,90.0,134.0,785.0
1610612739,1627777,82.0,10.0,1831.0,0.449,0.376,0.85,22.0,256.0,278.0,98.0,30.0,18.0,72.0,192.0,768.0
1610612739,1630171,69.0,42.0,1887.0,0.49,0.391,0.679,67.0,139.0,206.0,132.0,57.0,34.0,54.0,140.0,647.0
1610612739,1630600,10.0,0.0,72.0,0.417,0.3,0.0,3.0,7.0,10.0,6.0,2.0,0.0,2.0,6.0,23.0
1610612739,1628386,77.0,77.0,2442.0,0.634,0.0,0.742,243.0,568.0,811.0,210.0,53.0,81.0,121.0,147.0,1271.0
1610612739,202694,49.0,7.0,817.0,0.439,0.403,0.818,23.0,111.0,134.0,36.0,15.0,13.0,30.0,74.0,316.0
1610612739,1629622,70.0,70.0,2239.0,0.418,0.351,0.794,66.0,272.0,338.0,283.0,64.0,29.0,112.0,170.0,853.0
1610612739,1631250,8.0,0.0,27.0,0.167,1.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,3.0
1610612739,1630241,61.0,1.0,1069.0,0.402,0.404,0.929,22.0,98.0,120.0,108.0,19.0,4.0,19.0,72.0,485.0
1610612739,202684,49.0,0.0,549.0,0.608,0.0,0.288,73.0,101.0,174.0,51.0,12.0,14.0,29.0,59.0,161.0
1610612739,1629660,2.0,0.0,15.0,0.5,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,4.0
1610612742,1630639,42.0,0.0,311.0,0.446,0.26,0.652,14.0,36.0,50.0,20.0,10.0,3.0,14.0,22.0,136.0
1610612742,1641788,6.0,0.0,40.0,0.4,0.2,1.0,4.0,1.0,5.0,0.0,3.0,0.0,2.0,2.0,15.0
1610612742,1630314,17.0,0.0,113.0,0.37,0.2,0.647,4.0,9.0,13.0,17.0,1.0,1.0,7.0,4.0,54.0
1610612742,1629655,74.0,66.0,1814.0,0.725,0.0,0.674,195.0,367.0,562.0,115.0,65.0,153.0,74.0,227.0,814.0
1610612742,203957,55.0,17.0,1088.0,0.533,0.491,0.779,25.0,124.0,149.0,157.0,22.0,5.0,49.0,85.0,428.0
1610612742,1641726,55.0,42.0,1294.0,0.747,0.0,0.506,135.0,243.0,378.0,60.0,36.0,77.0,50.0,144.0,483.0
1610612742,1627884,76.0,66.0,1783.0,0.483,0.343,0.713,82.0,168.0,250.0,75.0,53.0,51.0,65.0,121.0,657.0
1610612742,1641926,4.0,0.0,30.0,0.526,0.125,0.333,1.0,8.0,9.0,4.0,0.0,1.0,3.0,1.0,22.0
1610612742,203939,63.0,9.0,836.0,0.679,0.333,0.708,97.0,117.0,214.0,84.0,26.0,20.0,32.0,113.0,208.0
1610612742,1629684,76.0,43.0,2130.0,0.456,0.375,0.757,86.0,232.0,318.0,174.0,44.0,39.0,109.0,226.0,784.0
1610612742,1630535,6.0,0.0,40.0,0.455,0.333,0.444,3.0,6.0,9.0,4.0,0.0,4.0,4.0,5.0,15.0
1610612742,1630702,73.0,7.0,989.0,0.407,0.362,0.776,20.0,111.0,131.0,109.0,22.0,4.0,62.0,80.0,530.0
1610612742,1630182,57.0,33.0,1505.0,0.479,0.385,0.684,40.0,144.0,184.0,130.0,47.0,9.0,60.0,107.0,469.0
1610612742,202681,58.0,58.0,2030.0,0.497,0.411,0.905,44.0,246.0,290.0,299.0,74.0,28.0,106.0,112.0,1487.0
1610612742,1629029,70.0,70.0,2624.0,0.487,0.382,0.786,59.0,588.0,647.0,686.0,99.0,38.0,282.0,149.0,2370.0
1610612742,202693,26.0,1.0,216.0,0.338,0.357,0.833,4.0,35.0,39.0,16.0,5.0,3.0,12.0,12.0,66.0
1610612742,1628467,43.0,7.0,871.0,0.432,0.348,0.702,30.0,113.0,143.0,68.0,17.0,30.0,28.0,79.0,191.0
1610612742,1641765,40.0,1.0,336.0,0.385,0.289,0.683,25.0,54.0,79.0,22.0,7.0,4.0,8.0,20.0,121.0
1610612742,1629023,73.0,45.0,2221.0,0.436,0.32,0.683,85.0,326.0,411.0,141.0,72.0,59.0,96.0,169.0,939.0
1610612742,1626158,40.0,10.0,554.0,0.558,0.333,0.723,71.0,111.0,182.0,25.0,11.0,19.0,24.0,74.0,199.0
1610612742,203552,44.0,4.0,615.0,0.392,0.352,0.903,18.0,50.0,68.0,44.0,22.0,6.0,21.0,39.0,226.0
1610612742,203501,79.0,12.0,2120.0,0.402,0.353,0.852,22.0,232.0,254.0,139.0,42.0,6.0,69.0,106.0,1139.0
1610612743,203932,73.0,73.0,2297.0,0.556,0.29,0.658,174.0,297.0,471.0,259.0,56.0,45.0,105.0,142.0,1013.0
1610612743,1630296,20.0,0.0,60.0,0.412,0.4,0.75,3.0,15.0,18.0,9.0,2.0,1.0,1.0,5.0,22.0
1610612743,1631128,82.0,4.0,1656.0,0.46,0.384,0.694,79.0,227.0,306.0,132.0,42.0,35.0,55.0,137.0,600.0
1610612743,1631221,24.0,0.0,225.0,0.464,0.395,0.667,1.0,20.0,21.0,27.0,13.0,0.0,14.0,24.0,87.0
1610612743,201599,36.0,2.0,396.0,0.624,0.0,0.491,54.0,103.0,157.0,26.0,6.0,16.0,23.0,56.0,142.0
1610612743,1641816,18.0,0.0,48.0,0.4,0.286,0.0,1.0,8.0,9.0,2.0,1.0,0.0,2.0,10.0,20.0
1610612743,1629618,27.0,0.0,122.0,0.429,0.36,0.75,1.0,13.0,14.0,21.0,4.0,0.0,9.0,13.0,42.0
1610612743,1627750,59.0,59.0,1861.0,0.481,0.425,0.853,42.0,200.0,242.0,384.0,57.0,39.0,125.0,104.0,1250.0
1610612743,1630643,20.0,0.0,49.0,0.6,0.333,1.0,2.0,9.0,11.0,2.0,2.0,3.0,1.0,9.0,23.0
1610612743,1631124,50.0,0.0,545.0,0.369,0.297,0.71,5.0,56.0,61.0,47.0,17.0,7.0,23.0,54.0,227.0
1610612743,203200,58.0,9.0,862.0,0.454,0.404,0.75,9.0,62.0,71.0,67.0,36.0,9.0,14.0,69.0,234.0
1610612743,203484,76.0,76.0,2402.0,0.46,0.406,0.894,31.0,152.0,183.0,183.0,98.0,42.0,75.0,151.0,766.0
1610612743,1629008,81.0,81.0,2565.0,0.484,0.397,0.836,106.0,459.0,565.0,122.0,42.0,53.0,92.0,148.0,1356.0
1610612743,203999,79.0,79.0,2737.0,0.583,0.359,0.817,223.0,753.0,976.0,708.0,108.0,68.0,237.0,194.0,2085.0
1610612743,1631212,80.0,4.0,1488.0,0.465,0.296,0.67,56.0,202.0,258.0,86.0,42.0,88.0,58.0,143.0,532.0
1610612743,202704,82.0,23.0,1817.0,0.431,0.359,0.806,33.0,122.0,155.0,308.0,44.0,13.0,106.0,149.0,833.0
1610612743,1630192,58.0,0.0,576.0,0.463,0.261,0.677,61.0,65.0,126.0,32.0,15.0,38.0,27.0,81.0,186.0
1610612765,202692,66.0,1.0,1212.0,0.369,0.376,0.868,24.0,126.0,150.0,88.0,28.0,12.0,48.0,75.0,689.0
1610612765,1641709,63.0,38.0,1583.0,0.483,0.186,0.597,129.0,273.0,402.0,120.0,68.0,59.0,84.0,175.0,556.0
